Force_X_min,Force_X_max,Force_X_mean,Force_X_std,Force_X_skew,Force_X_kurtosis,Force_X_energy,Force_X_zero_crossings,Force_Y_min,Force_Y_max,Force_Y_mean,Force_Y_std,Force_Y_skew,Force_Y_kurtosis,Force_Y_energy,Force_Y_zero_crossings,Force_Z_min,Force_Z_max,Force_Z_mean,Force_Z_std,Force_Z_skew,Force_Z_kurtosis,Force_Z_energy,Force_Z_zero_crossings,Vibration_X_min,Vibration_X_max,Vibration_X_mean,Vibration_X_std,Vibration_X_skew,Vibration_X_kurtosis,Vibration_X_energy,Vibration_X_zero_crossings,Vibration_Y_min,Vibration_Y_max,Vibration_Y_mean,Vibration_Y_std,Vibration_Y_skew,Vibration_Y_kurtosis,Vibration_Y_energy,Vibration_Y_zero_crossings,Vibration_Z_min,Vibration_Z_max,Vibration_Z_mean,Vibration_Z_std,Vibration_Z_skew,Vibration_Z_kurtosis,Vibration_Z_energy,Vibration_Z_zero_crossings,AE_RMS_min,AE_RMS_max,AE_RMS_mean,AE_RMS_std,AE_RMS_skew,AE_RMS_kurtosis,AE_RMS_energy,AE_RMS_zero_crossings
-2.501,3.744,0.4008549192295013,0.842473856537222,0.1152126045191475,-0.245203508886183,110892.479973,3086,-12.051,10.724,0.6294710827485518,1.6359674939913893,-0.6822315178884261,5.844448594502243,391443.410405,2755,-3.243,4.56,0.7051460854958478,1.127483829961876,-0.0207697394937807,-0.142493240180876,225295.822361,2449,-0.316,0.33,0.0093064647796668,0.0763499530759947,-0.0019436249591013,0.1322692015486479,753.671263,70639,-0.317,0.347,0.0135554718284431,0.0763152321541978,-0.0123983851591436,0.125437009919032,765.3714819999999,70016,-0.315,0.354,0.0181994850782586,0.0765642060579647,-0.0086478623778383,0.1329258974836054,789.0080320000002,68617,-0.005,0.01,-5.9773308843153e-05,0.0022295903902433,0.8231024786543019,0.656830929934737,0.6337550000000001,6164
-4.219,8.427,1.0281560558505989,1.864984033534696,0.6063177432212922,0.0226280603175572,985483.550862,7897,-9.826,14.302,1.1185920596058794,3.1499575874701007,0.3657992465000534,0.5308651686472494,2427920.457893,7735,-4.692,7.41,1.024092667077784,1.6835582079968354,0.2114544286224229,-0.2333174937892859,843778.8916499998,5621,-0.413,0.399,-0.0032299051055252,0.0853502875753455,0.0175371682661624,0.2751762033863389,1585.175017,117946,-0.386,0.35,-0.0108498071736909,0.0850267523247537,-0.0144069595162309,0.2359934065717306,1596.50979,116178,-0.435,0.409,-0.0128550811343157,0.0869505160288885,-0.0110752665475254,0.2773659255856775,1678.7288200000005,113549,-0.005,0.122,0.0385562739882371,0.0129407516763344,1.2568744258216498,4.876955560803991,359.414825,18
-5.994,11.534,1.7760996304725098,2.672098479080748,0.6050390044429536,0.0733061712078435,2248208.44472,7446,-12.778,20.826,2.3478876260949595,4.816041463620877,0.4872889623425082,0.8129620533837016,6269175.656737002,7573,-5.611,11.815,1.834001103545541,2.689690495937873,0.3694252297467933,-0.3908234707784142,2314457.1021950003,6056,-0.421,0.433,-0.0049063726320705,0.0956413225260417,0.0035412981493392,0.2627318333448913,2002.891204,112187,-0.448,0.4,-0.0098585584306758,0.0938166444412637,-0.0517364891982934,0.1945589630996713,1943.363377,111582,-0.48,0.418,-0.0117720239757861,0.0980383714702483,-0.075996222016419,0.2432248926125768,2129.286095,107435,-0.005,0.18,0.0665708444183948,0.019152866388616,1.5634460591693118,5.272908627237502,1047.931753,12
-6.157,11.788,2.104931867328045,2.9925634170241864,0.5867970807233363,0.1025425311754197,2928015.8081120006,7116,-13.915,24.148,2.721463647792992,5.5324816752178965,0.493793454492835,0.6816143326508755,8315118.705570999,7523,-8.489,12.852,2.024521704345441,3.12134662338497,0.3639099748721871,-0.4271745085081191,3027609.201139,6158,-0.43,0.443,-0.0012834160056689,0.0990320121085738,0.0037444617522006,0.1919662694430641,2145.558872,111646,-0.465,0.421,-0.0048305712391706,0.0971255353302238,-0.0271115905142055,0.1430291624138284,2068.502723,112245,-0.435,0.409,-0.0059066267401193,0.1020884605048519,-0.0380166055953353,0.1313513781905206,2287.288788,106498,-0.005,0.234,0.080003232221638,0.0228590018788068,1.7854614728510725,6.440645979623321,1514.3130670000005,14
-4.288,12.555,2.831399137114115,2.979762247812108,0.6127087158559619,0.0169367777645055,3708552.543707,6409,-22.483,24.337,2.351180887123228,5.747402110605216,0.3788665403010867,0.497810736542148,8463882.552038,8028,-7.805,11.704,1.1502546880125382,3.294666206553038,0.3958132146368655,-0.4477549636536104,2672991.955077,7055,-0.383,0.447,0.0154750519371651,0.0836724686391821,0.0199967749853032,0.3030264997228258,1589.26679,93188,-0.334,0.399,0.0213176094325181,0.0813499254739357,-0.0260881479638785,0.2530898695439356,1552.324154,91316,-0.451,0.395,0.0285524428691183,0.0875166368340025,-0.0645114252713338,0.1694302793306037,1860.090059,82803,-0.005,0.241,0.0891968509676713,0.0246872750203778,1.5708812789905855,5.279758560019001,1880.1011080000003,16
-4.167,14.291,2.9306807237999504,2.987073843657662,0.5908119872949519,-0.050650545082977,3832295.218800999,6232,-15.591,26.583,2.3327105622700994,5.897011320730768,0.4311945630015144,0.5555352851788182,8801097.259118998,8052,-7.671,12.352,1.1921915099728118,3.4817975684710905,0.4307697662035581,-0.443000898776543,2964075.964709,7088,-0.38,0.435,-0.0046989558820169,0.0831992067670516,0.0705664634760151,0.4261153992342779,1519.693943,94352,-0.375,0.354,-0.0153150494642326,0.0810150992440063,0.0140025264841089,0.2560380289066799,1487.7011000000002,92183,-0.418,0.382,-0.0182790239667344,0.0869981446975797,0.0117328371720344,0.284361474533914,1729.4806750000002,85557,-0.005,0.254,0.0952836847997441,0.0280118055796975,1.90704067059232,5.806289607426278,2158.607914,12
-4.91,13.014,3.016923752996233,3.0158057269000977,0.5744345314447624,0.0067066667371964,3985569.799665,5888,-15.944,27.215,2.443154215272229,6.012872318675999,0.428911076942658,0.5076209014040138,9226093.229094,7967,-8.402,13.221,1.2744323479054904,3.6549716665996224,0.4453961708090486,-0.42592918226662,3281637.2728490005,6921,-0.382,0.426,-0.0085523022486017,0.0834016009847436,-0.0016946543269247,0.4422411026946315,1539.5129620000005,95364,-0.377,0.363,-0.0143615842940303,0.0817626020341685,-0.0622727271972661,0.3245565058175708,1509.3774239999998,93682,-0.474,0.427,-0.0184418125784727,0.0876305367851077,-0.091339145927968,0.3296490818520334,1756.4001039999998,86267,-0.005,0.244,0.1029499235247117,0.0273583652978469,1.3998538061765613,4.263476853128894,2485.3124830000006,14
-4.147,13.322,3.0946017920999624,2.976188561735125,0.5582470813196405,-0.0532322518638035,4036374.841077,5611,-16.295,26.872,2.531579235571632,6.084972132267644,0.4274029955121658,0.5055331576327879,9510704.639265,8096,-7.821,14.355,1.361136818885555,3.744595446188255,0.4602272393725244,-0.4151943758304344,3475923.645633001,6916,-0.404,0.419,-0.0040298637656934,0.085867782635956,-0.0186630109700932,0.465047527872402,1618.0084170000002,98379,-0.398,0.367,-0.0085809801745516,0.0842749438975477,-0.063298374760181,0.3429341101901406,1571.235004,97005,-0.442,0.419,-0.0103512314978466,0.0895996810349901,-0.0786185239174424,0.3381606701746174,1781.29463,90933,-0.005,0.276,0.1115462662300592,0.0306703507093034,1.4637841942703207,4.57891187923311,2930.406656,16
-5.616,10.615,2.710929701294209,2.8735003769962315,0.1647895525732127,-0.5724970880215676,3429410.7322720005,5373,-19.65,26.321,2.546457933633071,5.861163335297227,0.3937265732996088,0.4112860893905852,8973964.95366,8669,-7.65,14.216,2.0017756066039287,3.687851967960624,0.438290452177,-0.3934311489173634,3869168.043296,6810,-0.372,0.413,0.0082688488632433,0.0805169478302157,0.0063450782548487,0.2148261754191573,1439.6401810000002,98304,-0.366,0.356,0.0106666317782186,0.0771723951712922,-0.0209339508588439,0.1403031841330384,1333.722801,99224,-0.341,0.359,0.0143532455357955,0.0837481659067634,-0.0285122816762972,0.0268770222569809,1586.5232130000002,90716,-0.005,0.286,0.1150521187906147,0.0323668420424835,1.679445192886592,5.594993087784967,3139.011783,32
-6.076,10.99,2.689313794095749,2.8618065146985,0.1516664363974349,-0.5150282446357584,3376359.580003,5130,-16.249,25.764,2.5252925998163773,5.897876825862332,0.4203139966628877,0.481319342933459,9011450.160257002,8679,-8.133,14.509,1.9951390737551784,3.731223373278325,0.4591738175451553,-0.3178079751525398,3919350.292502001,6857,-0.403,0.359,-0.0033243592613062,0.0787305470893863,0.0137685798214549,0.21525580993179,1359.4320440000004,97399,-0.342,0.316,-0.0109861597701516,0.0756097466526521,-0.019052507378922,0.0926609735354402,1277.9871030000002,97964,-0.346,0.361,-0.0132237412470823,0.0820261434772362,-0.0117293031202113,0.044039006605741,1511.280406,90280,-0.005,0.302,0.1172628958511284,0.0330712777012428,1.589253666216275,4.895054865119063,3249.8161300000006,10
