,Force_X_min,Force_X_max,Force_X_mean,Force_X_std,Force_X_skew,Force_X_kurtosis,Force_X_energy,Force_X_zero_crossings,Force_Y_min,Force_Y_max,Force_Y_mean,Force_Y_std,Force_Y_skew,Force_Y_kurtosis,Force_Y_energy,Force_Y_zero_crossings,Force_Z_min,Force_Z_max,Force_Z_mean,Force_Z_std,Force_Z_skew,Force_Z_kurtosis,Force_Z_energy,Force_Z_zero_crossings,Vibration_X_min,Vibration_X_max,Vibration_X_mean,Vibration_X_std,Vibration_X_skew,Vibration_X_kurtosis,Vibration_X_energy,Vibration_X_zero_crossings,Vibration_Y_min,Vibration_Y_max,Vibration_Y_mean,Vibration_Y_std,Vibration_Y_skew,Vibration_Y_kurtosis,Vibration_Y_energy,Vibration_Y_zero_crossings,Vibration_Z_min,Vibration_Z_max,Vibration_Z_mean,Vibration_Z_std,Vibration_Z_skew,Vibration_Z_kurtosis,Vibration_Z_energy,Vibration_Z_zero_crossings,AE_RMS_min,AE_RMS_max,AE_RMS_mean,AE_RMS_std,AE_RMS_skew,AE_RMS_kurtosis,AE_RMS_energy,AE_RMS_zero_crossings
0,-2.501,3.744,0.40085491922950134,0.842473856537222,0.11521260451914755,-0.24520350888618303,110892.47997300001,3086,-12.051,10.724,0.6294710827485518,1.6359674939913893,-0.6822315178884261,5.844448594502243,391443.410405,2755,-3.243,4.56,0.7051460854958478,1.1274838299618761,-0.020769739493780703,-0.14249324018087606,225295.822361,2449,-0.316,0.33,0.009306464779666871,0.0763499530759947,-0.0019436249591013675,0.13226920154864796,753.671263,70639,-0.317,0.347,0.013555471828443145,0.07631523215419789,-0.012398385159143644,0.12543700991903206,765.3714819999999,70016,-0.315,0.354,0.018199485078258682,0.07656420605796475,-0.008647862377838367,0.1329258974836054,789.0080320000002,68617,-0.005,0.01,-5.9773308843152995e-05,0.002229590390243391,0.8231024786543019,0.656830929934737,0.6337550000000001,6164
1,-4.219,8.427,1.0281560558505989,1.8649840335346959,0.6063177432212922,0.022628060317557264,985483.5508619999,7897,-9.826,14.302,1.1185920596058794,3.1499575874701007,0.36579924650005347,0.5308651686472494,2427920.457893,7735,-4.692,7.41,1.024092667077784,1.6835582079968354,0.21145442862242295,-0.2333174937892859,843778.8916499998,5621,-0.413,0.399,-0.0032299051055252334,0.08535028757534555,0.017537168266162445,0.27517620338633897,1585.175017,117946,-0.386,0.35,-0.010849807173690947,0.08502675232475373,-0.01440695951623097,0.23599340657173062,1596.50979,116178,-0.435,0.409,-0.01285508113431572,0.08695051602888859,-0.01107526654752549,0.2773659255856775,1678.7288200000003,113549,-0.005,0.122,0.03855627398823714,0.012940751676334402,1.2568744258216498,4.8769555608039905,359.414825,18
2,-5.994,11.534,1.7760996304725098,2.6720984790807476,0.6050390044429536,0.07330617120784355,2248208.44472,7446,-12.778,20.826,2.3478876260949595,4.816041463620877,0.48728896234250824,0.8129620533837016,6269175.656737002,7573,-5.611,11.815,1.834001103545541,2.689690495937873,0.3694252297467933,-0.3908234707784142,2314457.1021950003,6056,-0.421,0.433,-0.004906372632070593,0.09564132252604171,0.0035412981493392116,0.26273183334489136,2002.891204,112187,-0.448,0.4,-0.009858558430675818,0.09381664444126372,-0.05173648919829341,0.19455896309967136,1943.363377,111582,-0.48,0.418,-0.0117720239757861,0.09803837147024835,-0.07599622201641906,0.24322489261257685,2129.286095,107435,-0.005,0.18,0.06657084441839488,0.01915286638861601,1.5634460591693118,5.272908627237502,1047.931753,12
3,-6.157,11.788,2.104931867328045,2.9925634170241864,0.5867970807233363,0.10254253117541978,2928015.8081120006,7116,-13.915,24.148,2.721463647792992,5.5324816752178965,0.49379345449283507,0.6816143326508755,8315118.705570999,7523,-8.489,12.852,2.024521704345441,3.12134662338497,0.3639099748721871,-0.4271745085081191,3027609.2011389993,6158,-0.43,0.443,-0.00128341600566896,0.09903201210857383,0.0037444617522006487,0.19196626944306416,2145.558872,111646,-0.465,0.421,-0.004830571239170686,0.09712553533022389,-0.027111590514205502,0.14302916241382846,2068.502723,112245,-0.435,0.409,-0.005906626740119321,0.10208846050485197,-0.038016605595335394,0.13135137819052067,2287.288788,106498,-0.005,0.234,0.08000323222163805,0.022859001878806875,1.7854614728510723,6.440645979623321,1514.3130670000003,14
4,-4.288,12.555,2.831399137114115,2.9797622478121073,0.6127087158559619,0.01693677776450553,3708552.543707,6409,-22.483,24.337,2.3511808871232276,5.747402110605216,0.3788665403010867,0.497810736542148,8463882.552038,8028,-7.805,11.704,1.1502546880125382,3.294666206553038,0.39581321463686553,-0.44775496365361045,2672991.955077,7055,-0.383,0.447,0.015475051937165144,0.08367246863918217,0.01999677498530326,0.3030264997228258,1589.26679,93188,-0.334,0.399,0.021317609432518137,0.0813499254739357,-0.026088147963878597,0.25308986954393564,1552.3241540000001,91316,-0.451,0.395,0.028552442869118348,0.0875166368340025,-0.06451142527133383,0.16943027933060373,1860.0900589999999,82803,-0.005,0.241,0.08919685096767135,0.02468727502037781,1.5708812789905857,5.279758560019001,1880.1011080000003,16
5,-4.167,14.291,2.9306807237999504,2.987073843657662,0.5908119872949519,-0.05065054508297706,3832295.218800999,6232,-15.591,26.583,2.3327105622700994,5.897011320730768,0.4311945630015144,0.5555352851788182,8801097.259118998,8052,-7.671,12.352,1.1921915099728118,3.4817975684710905,0.4307697662035581,-0.44300089877654303,2964075.9647089997,7088,-0.38,0.435,-0.004698955882016953,0.08319920676705163,0.07056646347601513,0.4261153992342779,1519.693943,94352,-0.375,0.354,-0.015315049464232679,0.08101509924400631,0.01400252648410893,0.2560380289066799,1487.7011000000002,92183,-0.418,0.382,-0.018279023966734448,0.0869981446975797,0.011732837172034417,0.284361474533914,1729.4806750000002,85557,-0.005,0.254,0.09528368479974413,0.028011805579697544,1.9070406705923197,5.806289607426278,2158.6079139999997,12
6,-4.91,13.014,3.016923752996233,3.0158057269000977,0.5744345314447624,0.006706666737196443,3985569.799665,5888,-15.944,27.215,2.443154215272229,6.012872318675999,0.42891107694265806,0.5076209014040138,9226093.229094,7967,-8.402,13.221,1.2744323479054904,3.6549716665996224,0.4453961708090486,-0.42592918226662,3281637.2728490005,6921,-0.382,0.426,-0.008552302248601758,0.08340160098474365,-0.0016946543269247597,0.44224110269463157,1539.5129620000005,95364,-0.377,0.363,-0.014361584294030361,0.08176260203416853,-0.0622727271972661,0.3245565058175708,1509.3774239999998,93682,-0.474,0.427,-0.018441812578472775,0.08763053678510772,-0.09133914592796803,0.32964908185203345,1756.4001039999998,86267,-0.005,0.244,0.10294992352471177,0.027358365297846923,1.3998538061765613,4.263476853128894,2485.3124830000006,14
7,-4.147,13.322,3.0946017920999624,2.976188561735125,0.5582470813196405,-0.05323225186380354,4036374.8410770004,5611,-16.295,26.872,2.5315792355716313,6.084972132267644,0.4274029955121658,0.5055331576327879,9510704.639265,8096,-7.821,14.355,1.361136818885555,3.744595446188255,0.4602272393725244,-0.4151943758304344,3475923.645633001,6916,-0.404,0.419,-0.004029863765693434,0.08586778263595601,-0.01866301097009322,0.465047527872402,1618.0084170000002,98379,-0.398,0.367,-0.008580980174551632,0.0842749438975477,-0.06329837476018103,0.34293411019014064,1571.235004,97005,-0.442,0.419,-0.010351231497846648,0.08959968103499012,-0.07861852391744248,0.3381606701746174,1781.29463,90933,-0.005,0.276,0.11154626623005923,0.03067035070930349,1.4637841942703207,4.57891187923311,2930.406656,16
8,-5.616,10.615,2.710929701294209,2.8735003769962315,0.16478955257321273,-0.5724970880215676,3429410.7322720005,5373,-19.65,26.321,2.546457933633071,5.861163335297227,0.39372657329960886,0.4112860893905852,8973964.95366,8669,-7.65,14.216,2.0017756066039287,3.687851967960624,0.438290452177,-0.3934311489173634,3869168.043296,6810,-0.372,0.413,0.008268848863243352,0.08051694783021573,0.006345078254848755,0.21482617541915738,1439.6401810000002,98304,-0.366,0.356,0.010666631778218688,0.07717239517129221,-0.020933950858843937,0.14030318413303844,1333.722801,99224,-0.341,0.359,0.014353245535795546,0.08374816590676348,-0.02851228167629728,0.026877022256980965,1586.5232130000002,90716,-0.005,0.286,0.11505211879061471,0.032366842042483586,1.6794451928865919,5.594993087784967,3139.011783,32
9,-6.076,10.99,2.6893137940957486,2.8618065146985,0.15166643639743496,-0.5150282446357584,3376359.580003,5130,-16.249,25.764,2.5252925998163773,5.8978768258623315,0.42031399666288777,0.481319342933459,9011450.160257002,8679,-8.133,14.509,1.9951390737551782,3.731223373278325,0.45917381754515535,-0.3178079751525398,3919350.2925020005,6857,-0.403,0.359,-0.00332435926130628,0.07873054708938636,0.01376857982145498,0.21525580993179005,1359.4320440000004,97399,-0.342,0.316,-0.010986159770151695,0.07560974665265212,-0.019052507378922015,0.09266097353544023,1277.9871030000002,97964,-0.346,0.361,-0.01322374124708236,0.0820261434772362,-0.011729303120211369,0.044039006605741005,1511.280406,90280,-0.005,0.302,0.11726289585112849,0.03307127770124286,1.589253666216275,4.895054865119063,3249.8161300000006,10
