flute_1,flute_2,flute_3
32.31711361,48.89261732,37.72082548
37.914879,49.57081504,37.72082548
43.08790971,50.30286727,37.72082548
47.8590723,51.08365203,37.84985103
52.25032922,51.90828793,38.17266456
56.28276562,52.77212655,38.61755643
59.97661561,53.6707451,39.17455623
63.3512879,54.5999392,39.83415523
66.4253909,55.55571585,40.58729178
69.21675719,56.53428648,41.42533708
71.74246752,57.53206029,42.34008123
74.01887416,58.54563763,43.32371962
76.06162381,59.57180359,44.36883963
77.88567991,60.60752172,45.46840765
79.50534445,61.64992794,46.61575637
80.93427925,62.69632451,47.8045724
82.18552678,63.74417426,49.0288842
83.27153045,64.79109482,50.28305022
84.20415441,65.83485314,51.56174741
84.99470288,66.87336002,52.85995997
85.653939,67.90466485,54.17296838
86.19210327,68.92695045,55.49633868
86.61893145,69.93852803,56.82591204
86.94367205,70.93783235,58.15779461
87.17510345,71.92341685,59.48834755
87.32155046,72.89394911,60.81417738
87.39090058,73.84820624,62.13212659
87.39090058,74.78507049,63.43926441
87.39090058,75.70352498,64.73287786
87.39090058,76.6026495,66.0104631
87.39090058,77.48161641,67.26971691
87.39090058,78.33968677,68.50852841
87.39090058,79.17620637,69.72497111
87.39090058,79.99060207,70.91729498
87.39090058,80.78237816,72.08391897
87.39090058,81.55111275,73.22342351
87.39090058,82.2964544,74.33454341
87.39090058,83.01811874,75.41616079
87.39090058,83.71588526,76.46729838
87.39090058,84.38959411,77.48711287
87.39090058,85.03914309,78.47488851
87.39090058,85.66448465,79.43003091
87.39090058,86.26562303,80.35206101
87.39090058,86.84261145,81.24060921
87.39090058,87.39554943,82.09540971
87.39090058,87.92458016,82.91629497
87.39090058,88.42988794,83.70319044
87.39090058,88.91169574,84.45610931
87.39090058,89.37026282,85.17514756
87.39090058,89.80588243,85.86047909
87.39090058,90.21887955,86.51235104
87.39090058,90.60960878,87.13107922
87.39090058,90.97845225,87.71704374
87.39090058,91.32581757,88.27068479
87.39090058,91.65213593,88.79249847
87.39090058,91.95786023,89.2830329
87.39090058,92.24346325,89.74288435
87.39090058,92.50943591,90.17269359
87.39090058,92.7562856,90.57314227
87.39090058,92.98453457,90.94494956
87.39090058,93.19471836,91.2888688
87.39090058,93.38738431,91.60568433
87.39090058,93.56309014,91.89620842
87.39090058,93.72240252,92.16127833
87.39090058,93.86589581,92.40175351
87.39090058,93.99415074,92.61851282
87.39090058,94.10775318,92.81245198
87.39090058,94.20729304,92.98448102
87.39090058,94.29336308,93.13552193
87.39090058,94.36655788,93.26650631
87.39090058,94.42747281,93.37837323
87.39090058,94.47670304,93.47206707
87.39090058,94.51484266,93.54853556
