,Force_X_min,Force_X_max,Force_X_mean,Force_X_std,Force_X_skew,Force_X_kurtosis,Force_X_energy,Force_X_zero_crossings,Force_Y_min,Force_Y_max,Force_Y_mean,Force_Y_std,Force_Y_skew,Force_Y_kurtosis,Force_Y_energy,Force_Y_zero_crossings,Force_Z_min,Force_Z_max,Force_Z_mean,Force_Z_std,Force_Z_skew,Force_Z_kurtosis,Force_Z_energy,Force_Z_zero_crossings,Vibration_X_min,Vibration_X_max,Vibration_X_mean,Vibration_X_std,Vibration_X_skew,Vibration_X_kurtosis,Vibration_X_energy,Vibration_X_zero_crossings,Vibration_Y_min,Vibration_Y_max,Vibration_Y_mean,Vibration_Y_std,Vibration_Y_skew,Vibration_Y_kurtosis,Vibration_Y_energy,Vibration_Y_zero_crossings,Vibration_Z_min,Vibration_Z_max,Vibration_Z_mean,Vibration_Z_std,Vibration_Z_skew,Vibration_Z_kurtosis,Vibration_Z_energy,Vibration_Z_zero_crossings,AE_RMS_min,AE_RMS_max,AE_RMS_mean,AE_RMS_std,AE_RMS_skew,AE_RMS_kurtosis,AE_RMS_energy,AE_RMS_zero_crossings
0,-3.966,6.974,1.840447226986159,1.697723089511627,-0.1043113275735751,-0.7270155302930825,1038202.8433650001,3445,-7.116,11.453,1.2880818920746873,2.4989110600556876,0.4782342279523175,0.4860547072505219,1308816.7561809998,5437,-4.656,5.565,0.34307750187202596,1.4112074490952502,0.14042060736793258,-0.06155087867092357,349274.521892,4269,-0.338,0.304,-0.010537144617019736,0.0752738181631381,-0.047908852972298334,0.04076993514815097,956.672087,71089,-0.337,0.298,-0.01843189449020508,0.0739416791726867,-0.037625202549442835,0.03529771716656782,961.6281660000001,70033,-0.337,0.283,-0.022517156211502697,0.07566062587257973,-0.03064377040387447,0.03005145581034485,1031.9144649999998,68054,-0.005,0.098,0.03173882823256601,0.011924373340472855,1.6593634664732932,6.687025308701198,190.359729,20
1,-3.966,6.974,1.840447226986159,1.697723089511627,-0.1043113275735751,-0.7270155302930825,1038202.8433650001,3445,-7.116,11.453,1.2880818920746873,2.4989110600556876,0.4782342279523175,0.4860547072505219,1308816.7561809998,5437,-4.656,5.565,0.34307750187202596,1.4112074490952502,0.14042060736793258,-0.06155087867092357,349274.521892,4269,-0.338,0.304,-0.010537144617019736,0.0752738181631381,-0.047908852972298334,0.04076993514815097,956.672087,71089,-0.337,0.298,-0.01843189449020508,0.0739416791726867,-0.037625202549442835,0.03529771716656782,961.6281660000001,70033,-0.337,0.283,-0.022517156211502697,0.07566062587257973,-0.03064377040387447,0.03005145581034485,1031.9144649999998,68054,-0.005,0.098,0.03173882823256601,0.011924373340472855,1.6593634664732932,6.687025308701198,190.359729,20
2,-5.534,9.765,2.4532082224139447,2.611065893995318,-0.003934917775130536,-0.6375094611139902,2782160.7362290006,5559,-11.538,19.054,1.9144136766490272,4.493720522398859,0.5302337713359689,0.4576544234002262,5171286.65936,7295,-6.462,7.866,0.6358715472735745,2.1285963993293797,0.22125209395987117,-0.3586185570153164,1069707.1105320002,6111,-0.381,0.38,-0.0057378534618383464,0.08320408107816736,0.021363767779787952,0.12187592894265142,1507.66489,88103,-0.372,0.339,-0.010428906246395602,0.07996363199006028,-0.004923952439052577,0.033576660403203284,1409.5003290000002,89954,-0.379,0.354,-0.01322198026288472,0.08545411088897939,-0.02691149235608697,0.05131580407951786,1620.6739189999998,84252,-0.005,0.164,0.05629413284490356,0.01796973734022531,1.1101052931114608,5.726586856585969,756.8743650000002,16
3,-5.957,11.524,2.8981542181406237,3.135458269741823,0.06894517650683533,-0.5731706040320108,4071439.2955660005,5159,-13.933,23.878,2.3067691518942564,5.503000728864078,0.6237891450753253,0.6118865730468821,7951562.725964999,6927,-7.13,10.008,0.8941851495300739,2.729140944097385,0.2940336064909051,-0.4721639171088565,1841993.4161440001,5892,-0.423,0.371,-0.0017126398696117454,0.08415698966069572,-0.04234359115599873,0.21407188029610458,1582.3813790000002,95435,-0.373,0.346,-0.004871604285976546,0.08136884338369574,-0.057697468693779404,0.12204925373122855,1483.9565659999994,96784,-0.421,0.391,-0.006356248292907899,0.0881805196253541,-0.05447099170576045,0.14383137273628277,1745.6089439999998,89464,-0.005,0.189,0.074630712881661,0.024344333026203868,0.3804287699625394,3.9303285402876673,1376.2644209999999,24
4,-5.408,11.112,2.4902914683486608,2.8576442600186605,0.1638500108422608,-0.7216195280997328,3341641.754176,5701,-23.316,20.085,2.0527700715019717,5.48576432513318,0.3989240848870428,0.1505034649499275,7979236.7952660015,7089,-6.707,10.688,1.3703374609275905,2.8076671654517873,0.21966295832697008,-0.5638473153125374,2270173.316389,5547,-0.391,0.379,0.011648058095889173,0.08290545058275248,-0.06426373224292448,0.19509594950194575,1630.1512609999997,94165,-0.344,0.345,0.015103520923893185,0.0800377046575726,-0.053237749830965256,0.06893008800321487,1542.970954,95446,-0.359,0.391,0.02013027719375185,0.08674097286591935,-0.059040296902559866,0.08244729166704268,1844.1794240000002,86917,-0.005,0.232,0.07491745671400502,0.023767228801582697,0.9844379726245912,7.31513080766687,1436.770071,42
5,-5.159,11.28,2.7033955156669367,2.8272549901202635,0.23062156828334557,-0.6704724447868946,3414983.5455350005,5265,-13.673,22.321,2.340566872930454,5.4625556473775605,0.5170060706388693,0.23511172547700454,7882083.5550110005,6961,-7.327,11.036,1.577813798016821,3.0573310151625495,0.28546182258711533,-0.6066195405613843,2641685.3186959997,5450,-0.404,0.366,-0.003066543595442182,0.08322026995275544,-0.019163539651645297,0.18250255456678266,1547.729368,93413,-0.349,0.322,-0.01143149607710472,0.08028950329743444,-0.00946092975908904,0.03726075828999731,1467.847305,93684,-0.409,0.391,-0.0134112341325495,0.08609651015461543,-0.008210229882712099,0.03545125683673023,1694.4573229999999,87775,-0.005,0.257,0.0863773775971538,0.029263788938676323,0.8781253187793885,4.809866616065205,1856.256144,22
6,-4.89,12.29,2.8435700545821714,2.8238434825594183,0.25347745503468483,-0.6323190190165762,3586716.1353929997,5025,-15.18,22.92,2.4947179100267314,5.542055923671747,0.5439108678317554,0.3189085133211602,8249443.932565002,7202,-7.024,11.658,1.7109844805738514,3.243168002848079,0.31755031097958053,-0.63891536990565,3002837.1378589994,5412,-0.4,0.361,-0.00582875795337008,0.084663333131774,-0.04932773297043646,0.18244171826468447,1608.4045800000001,92901,-0.365,0.39,-0.010959687999534331,0.08180311141775772,-0.030262561179076036,0.06783164450530865,1521.3072860000002,93161,-0.391,0.353,-0.013994832828108702,0.08769199542816292,-0.035836628893062245,0.034909705436545924,1761.138596,87123,-0.005,0.248,0.09609068073235932,0.03243517647220219,0.7640612772194052,4.149542422879435,2297.0814960000002,22
7,-5.411,12.195,3.00805522970557,2.8769267559478973,0.260152591372761,-0.6263765207623306,3866556.419431999,4713,-14.771,23.758,2.638906034223956,5.665011275005581,0.5574132889432162,0.38165903381832544,8716408.501278002,7330,-7.254,12.804,1.83851667510541,3.464524233047201,0.3402523595514327,-0.6534523044526144,3433135.7956680004,5501,-0.417,0.386,-0.0022875161867038263,0.08502808434817173,-0.054584254057466225,0.14525326619450052,1614.6801189999999,92032,-0.346,0.337,-0.006152999637059374,0.08203078463317133,-0.027600651317250115,0.026258080758658764,1510.2117279999998,93178,-0.394,0.365,-0.007406748903336812,0.08804813787404224,-0.024609754612142307,0.0027428436801995026,1742.4097420000003,86898,-0.005,0.262,0.10360931457990744,0.0341259109941921,0.6947994096498377,4.030767164427016,2655.686376,12
8,-4.621,11.627,2.962824061760899,2.467014238153131,0.3642517023487501,-0.17597519306412002,3330976.508124,4111,-23.316,25.026,2.54760816636173,5.431302464354587,0.6060021488892855,0.6943324100765089,8064824.800408,8355,-8.761,11.341,0.2303073408005712,3.547878029968157,0.3672134049562326,-0.6851059431835131,2832592.572794,5262,-0.412,0.399,0.0073173412468204736,0.08645116110468123,-0.04400148724252477,0.07803772571816703,1686.7956569999994,93995,-0.329,0.374,0.009888107456825381,0.08360756721869679,-0.013584400882816662,-0.017064504632779975,1588.3429219999998,95833,-0.344,0.384,0.013404342005444237,0.08775464207053614,-0.027165318662871852,-0.022535484564074615,1765.9455529999998,90869,-0.005,0.297,0.11489473425855684,0.0368692130281858,0.5190007204684267,3.822426181631135,3262.780151000001,14
9,-4.639,11.687,3.084155247395133,2.5104275410107353,0.3699419903069882,-0.20383583658823845,3527269.5115949996,3821,-13.012,26.313,2.724195799931852,5.506192685105276,0.6705461037906387,0.6956322469715408,8417516.558608001,8372,-8.999,11.997,0.37301488495543483,3.7869019543891924,0.3917197256348236,-0.7242835425262624,3229610.702292,5134,-0.428,0.387,-0.00258808127544341,0.08567030588691367,-0.03117784739266087,0.12564899410834718,1638.4960720000004,92816,-0.364,0.371,-0.009604001900970216,0.08270918438958318,0.004631263361555873,0.036797791011787595,1546.367479,93772,-0.37,0.368,-0.01157411093775219,0.08726859271576078,-0.00570739657977201,0.02995926759974621,1728.5314860000003,88712,-0.005,0.282,0.12009240777604421,0.03838874271382676,0.46333298542013573,3.4564421359047,3545.4796249999995,32
